Wavelength [um],Blue,Green,Red,NIR,Pan
0.759,0.0001,0.0005,0.0001,0.9979,0.6865
0.76,0.0001,0.0004,0.0001,0.998,0.683
0.761,0.0001,0.0003,0.0001,0.9999,0.6814
0.762,0.0001,0.0003,0.0001,1.0,0.6795
0.763,0.0001,0.0002,0.0001,0.9999,0.6784
0.764,0.0001,0.0002,0.0001,0.9993,0.6771
0.765,0.0001,0.0002,0.0001,0.9981,0.676
0.766,0.0001,0.0002,0.0001,0.9965,0.6749
0.767,0.0001,0.0002,0.0001,0.9942,0.6735
0.768,0.0002,0.0002,0.0001,0.9922,0.6719
0.769,0.0002,0.0002,0.0001,0.99,0.6708
0.77,0.0002,0.0002,0.0001,0.9879,0.6694
0.771,0.0002,0.0001,0.0001,0.9844,0.6671
0.772,0.0002,0.0002,0.0001,0.9807,0.6644
0.773,0.0002,0.0002,0.0001,0.9771,0.6621
0.774,0.0002,0.0002,0.0001,0.9736,0.6591
0.775,0.0002,0.0002,0.0001,0.9714,0.6567
0.776,0.0002,0.0003,0.0001,0.9684,0.6538
0.777,0.0002,0.0003,0.0001,0.9661,0.6512
0.778,0.0002,0.0004,0.0001,0.9624,0.6481
0.779,0.0002,0.0004,0.0001,0.9588,0.6453
0.78,0.0002,0.0004,0.0001,0.9554,0.6424
0.781,0.0001,0.0004,0.0,0.9531,0.6407
0.782,0.0001,0.0004,0.0,0.952,0.6399
0.783,0.0001,0.0004,0.0,0.9496,0.6384
0.784,0.0001,0.0004,0.0,0.9468,0.6367
0.785,0.0001,0.0005,0.0,0.9451,0.6354
0.786,0.0001,0.0005,0.0,0.9434,0.6341
0.787,0.0001,0.0005,0.0001,0.9425,0.6329
0.788,0.0002,0.0004,0.0,0.9402,0.6308
0.789,0.0002,0.0004,0.0,0.9381,0.6291
0.79,0.0002,0.0003,0.0,0.9359,0.627
0.791,0.0002,0.0003,0.0,0.9315,0.6241
0.792,0.0002,0.0003,0.0,0.9267,0.6209
0.793,0.0002,0.0003,0.0,0.923,0.6188
0.794,0.0002,0.0003,0.0001,0.9196,0.6168
0.795,0.0002,0.0003,0.0001,0.9149,0.6139
0.796,0.0003,0.0004,0.0,0.9107,0.6117
0.797,0.0003,0.0004,0.0,0.9057,0.6088
0.798,0.0003,0.0003,0.0,0.9014,0.6059
0.799,0.0003,0.0003,0.0001,0.8976,0.6033
0.8,0.0003,0.0003,0.0001,0.8948,0.5988
0.801,0.0002,0.0003,0.0001,0.8878,0.5982
0.802,0.0002,0.0002,0.0001,0.8867,0.5958
0.803,0.0002,0.0002,0.0001,0.8841,0.5903
0.804,0.0002,0.0002,0.0001,0.881,0.5913
0.805,0.0002,0.0002,0.0001,0.8763,0.5882
0.806,0.0001,0.0002,0.0001,0.8678,0.5849
0.807,0.0001,0.0002,0.0001,0.8697,0.5812
0.808,0.0001,0.0002,0.0001,0.8622,0.5771
0.809,0.0001,0.0002,0.0001,0.8569,0.5733
0.81,0.0001,0.0001,0.0001,0.8554,0.5725
0.811,0.0001,0.0001,0.0001,0.8469,0.5674
0.812,0.0001,0.0001,0.0001,0.84,0.5594
0.813,0.0001,0.0001,0.0001,0.83,0.5549
0.814,0.0001,0.0001,0.0001,0.8239,0.5502
0.815,0.0002,0.0001,0.0001,0.8131,0.544
